Cust_id,Country_code,Sales_Type,Net_sales,Invoice_Amount
SIE39906,SIE,Direct,1,400
AFG39258,AFG,Website,2,400
CAN39302,CAN,Website,2,400
POR39323,POR,Website,2,400
NOR39103,NOR,Other,3,600
ITA39581,ITA,Website,2,800
MIC39753,MIC,Direct,4,800
PAL39849,PAL,Other,4,800
PAL39867,PAL,Website,3,1200
CHA39209,CHA,Website,7,1400
SWA39356,SWA,Website,7,1400
FIN39270,FIN,Website,4,1600
KOR39147,KOR,Direct,5,2000
DJI39145,DJI,Other,10,2000
SWE39226,SWE,Direct,12,2400
IRA39216,IRA,Website,13,2600
TAJ39874,TAJ,Direct,13,2600
FRE39441,FRE,Other,7,2800
ARG39109,ARG,Direct,311,2800
AND39870,AND,Direct,15,3000
CHR39212,CHR,Website,8,3200
BOT39745,BOT,Other,8,3200
MIC39178,MIC,Website,16,3200
SOM39415,SOM,Website,16,3200
BRU39656,BRU,Website,16,3200
LIB39229,LIB,Website,17,3400
MAD38963,MAD,Direct,18,3600
SIN39247,,Website,18,3600
ISR39281,,Direct,18,3600
GEO39390,,Website,18,3600
FIJ39524,FIJ,Website,19,3800
PAL39053,PAL,Direct,10,4000
MOL38957,MOL,Website,20,4000
MAU39424,MAU,Direct,20,4000
COO39907,COO,Website,21,4200
NET38951,NET,Website,22,4400
NIG39050,NIG,Direct,22,4400
NET39262,NET,Direct,22,4400
MEX39319,MEX,Website,22,4400
NIU39426,NIU,Other,23,4600
CRO39825,CRO,Website,24,4800
BAH39372,BAH,Website,25,5000
KAZ39781,KAZ,Other,25,5000
BAR39805,BAR,Website,25,5000
BOU39024,BOU,Website,26,5200
SER39218,SER,Direct,14,5600
HON39411,,Direct,28,5600
TUR39154,,Website,29,5800
FRE39115,FRE,Website,30,6000
FRE39407,FRE,Website,32,6400
FIN39124,FIN,Website,33,6600
SAI39134,SAI,Website,33,6600
CHR39469,CHR,Direct,33,6600
CAM39640,CAM,Direct,17,6800
SRI39531,SRI,Other,34,6800
ALB39388,,Website,18,7200
NET39542,,Website,18,7200
CZE39557,,Website,18,7200
LIB39346,LIB,Website,37,7400
SPA39102,SPA,Direct,38,7600
ROM39742,ROM,Website,38,7600
BRU39836,BRU,Website,38,7600
YEM39848,YEM,Website,38,7600
HON39788,HON,Direct,39,7800
SAU39045,SAU,Website,20,8000
SAM39629,SAM,Direct,20,8000
MAL39000,MAL,Website,40,8000
BOT39458,BOT,Website,40,8000
BAH39837,BAH,Other,40,8000
CAN39277,CAN,Direct,41,8200
THA39139,THA,Direct,42,8400
NOR39715,NOR,Website,43,8600
COC39765,COC,Other,43,8600
EQU39680,EQU,Website,22,8800
GRE39894,GRE,Direct,22,8800
PER39204,PER,Website,44,8800
PHI39269,PHI,Direct,44,8800
SOL38973,SOL,Direct,45,9000
HUN39235,HUN,Website,45,9000
VIR39512,VIR,Website,23,9200
MYA39471,MYA,Website,24,9600
RWA39539,RWA,Other,24,9600
AUS39859,AUS,Website,24,9600
NET39086,NET,Direct,48,9600
FIJ39359,FIJ,Website,48,9600
BOT39876,BOT,Direct,25,10000
BOL39773,BOL,Direct,50,10000
LIB39282,,Direct,26,10400
GUA39821,,Website,26,10400
ECU39369,ECU,Website,52,10400
AME39898,AME,Website,52,10400
SWA39293,SWA,Direct,54,10800
MAY38990,,Website,28,11200
TUR39060,,Website,28,11200
GRE39347,GRE,Direct,56,11200
FRE39253,,Direct,29,11600
GUI39785,GUI,Direct,29,11600
NET39398,NET,Direct,58,11600
TAI39826,TAI,Website,58,11600
SEN39266,SEN,Other,59,11800
LIB39466,LIB,Other,60,12000
MAU39363,MAU,Website,61,12200
AUS39860,AUS,Website,31,12400
JAP39133,JAP,Direct,62,12400
BEL39756,BEL,Other,63,12600
PAL39033,PAL,Website,32,12800
ANT39153,ANT,Direct,32,12800
OMA39477,OMA,Direct,64,12800
CHI39057,CHI,Direct,65,13000
NEW39309,NEW,Direct,65,13000
UNI39252,UNI,Website,33,13200
UKR39556,UKR,Direct,66,13200
QAT39587,QAT,Website,66,13200
KYR38948,KYR,Direct,67,13400
FAR39284,FAR,Other,34,13600
POL39299,POL,Direct,68,13600
ANT39815,ANT,Other,68,13600
ERI39711,ERI,Website,35,14000
MAL39654,MAL,Website,70,14000
ISR39070,ISR,Website,71,14200
MAC39403,MAC,Website,36,14400
ALB39082,ALB,Website,73,14600
GEO39303,GEO,Website,74,14800
OMA39508,OMA,Direct,74,14800
BEN39444,BEN,Website,75,15000
CAM39037,CAM,Direct,38,15200
SIN39749,SIN,Website,38,15200
GEO39172,GEO,Website,77,15400
FAR39061,FAR,Direct,39,15600
