Area,Consumption Segment,Country,Measure Names,"Sector, Category or Product",Measure Values
National,Higher,Afghanistan,US$,Energy,0.660117462
National,Higher,Afghanistan,$PPP,Energy,1.457473091
National,Higher,Afghanistan,Local Currency,Energy,30.663776355
National,Middle,Afghanistan,US$,Energy,78.053998013
National,Middle,Afghanistan,$PPP,Energy,172.335392163
National,Middle,Afghanistan,Local Currency,Energy,3625.764315716
National,Lowest,Afghanistan,US$,Energy,439.020543952
National,Lowest,Afghanistan,$PPP,Energy,969.313289969
National,Lowest,Afghanistan,Local Currency,Energy,20393.382307654
National,Low,Afghanistan,US$,Energy,867.736078925
National,Low,Afghanistan,$PPP,Energy,1915.874154581
National,Low,Afghanistan,Local Currency,Energy,40308.076338223
National,All,Afghanistan,US$,Energy,1385.470738349
National,All,Afghanistan,$PPP,Energy,3058.980309796
National,All,Afghanistan,Local Currency,Energy,64357.886737801
Rural,Higher,Afghanistan,US$,Energy,0
Rural,Higher,Afghanistan,$PPP,Energy,0
Rural,Higher,Afghanistan,Local Currency,Energy,0
Rural,Middle,Afghanistan,US$,Energy,7.874913517
Rural,Middle,Afghanistan,$PPP,Energy,17.387018522
Rural,Middle,Afghanistan,Local Currency,Energy,365.805482683
Rural,Lowest,Afghanistan,US$,Energy,370.586293129
Rural,Lowest,Afghanistan,$PPP,Energy,818.217333924
Rural,Lowest,Afghanistan,Local Currency,Energy,17214.474488430
Rural,Low,Afghanistan,US$,Energy,459.319617720
Rural,Low,Afghanistan,$PPP,Energy,1014.131607126
Rural,Low,Afghanistan,Local Currency,Energy,21336.314882333
Rural,All,Afghanistan,US$,Energy,837.780824363
Rural,All,Afghanistan,$PPP,Energy,1849.735959567
Rural,All,Afghanistan,Local Currency,Energy,38916.594853325
Urban,Higher,Afghanistan,US$,Energy,0.660117462
Urban,Higher,Afghanistan,$PPP,Energy,1.457473091
Urban,Higher,Afghanistan,Local Currency,Energy,30.663776355
Urban,Middle,Afghanistan,US$,Energy,70.179084498
Urban,Middle,Afghanistan,$PPP,Energy,154.948373644
Urban,Middle,Afghanistan,Local Currency,Energy,3259.958833092
Urban,Lowest,Afghanistan,US$,Energy,68.434250825
Urban,Lowest,Afghanistan,$PPP,Energy,151.095956049
Urban,Lowest,Afghanistan,Local Currency,Energy,3178.907819318
Urban,Low,Afghanistan,US$,Energy,408.416461206
Urban,Low,Afghanistan,$PPP,Energy,901.742547458
Urban,Low,Afghanistan,Local Currency,Energy,18971.761455962
Urban,All,Afghanistan,US$,Energy,547.689913987
Urban,All,Afghanistan,$PPP,Energy,1209.244350233
Urban,All,Afghanistan,Local Currency,Energy,25441.291884547
National,Higher,Albania,US$,Energy,18.619864977
National,Higher,Albania,$PPP,Energy,33.452736967
National,Higher,Albania,Local Currency,Energy,1935.274286269
National,Middle,Albania,US$,Energy,190.808635995
National,Middle,Albania,$PPP,Energy,342.809742110
National,Middle,Albania,Local Currency,Energy,19831.886390799
National,Lowest,Albania,US$,Energy,8.335752260
National,Lowest,Albania,$PPP,Energy,14.976141240
National,Lowest,Albania,Local Currency,Energy,866.384746849
National,Low,Albania,US$,Energy,185.999432586
National,Low,Albania,$PPP,Energy,334.169452995
National,Low,Albania,Local Currency,Energy,19332.037025221
National,All,Albania,US$,Energy,403.763685816
National,All,Albania,$PPP,Energy,725.408073308
National,All,Albania,Local Currency,Energy,41965.582448937
Rural,Higher,Albania,US$,Energy,0.971143687
Rural,Higher,Albania,$PPP,Energy,1.744771746
Rural,Higher,Albania,Local Currency,Energy,100.936790296
Rural,Middle,Albania,US$,Energy,49.649168208
Rural,Middle,Albania,$PPP,Energy,89.200462340
Rural,Middle,Albania,Local Currency,Energy,5160.335946850
Rural,Lowest,Albania,US$,Energy,6.121876755
Rural,Lowest,Albania,$PPP,Energy,10.998658318
Rural,Lowest,Albania,Local Currency,Energy,636.283382363
Rural,Low,Albania,US$,Energy,95.384257300
Rural,Low,Albania,$PPP,Energy,171.368829697
Rural,Low,Albania,Local Currency,Energy,9913.858166779
Rural,All,Albania,US$,Energy,152.126445948
Rural,All,Albania,$PPP,Energy,273.312722098
Rural,All,Albania,Local Currency,Energy,15811.414286079
Urban,Higher,Albania,US$,Energy,17.648721290
Urban,Higher,Albania,$PPP,Energy,31.707965221
Urban,Higher,Albania,Local Currency,Energy,1834.337496027
Urban,Middle,Albania,US$,Energy,141.159467788
Urban,Middle,Albania,$PPP,Energy,253.609279771
Urban,Middle,Albania,Local Currency,Energy,14671.550444012
Urban,Lowest,Albania,US$,Energy,2.213875506
Urban,Lowest,Albania,$PPP,Energy,3.977482923
Urban,Lowest,Albania,Local Currency,Energy,230.101364578
Urban,Low,Albania,US$,Energy,90.615175286
Urban,Low,Albania,$PPP,Energy,162.800623300
Urban,Low,Albania,Local Currency,Energy,9418.178858519
Urban,All,Albania,US$,Energy,251.637239868
