Area	Consumption Segment	Country	Measure Names	"Sector, Category or Product"	Measure Values
National	Higher	Afghanistan	US$	Energy	0.660117462
National	Higher	Afghanistan	$PPP	Energy	1.457473091
National	Higher	Afghanistan	Local Currency	Energy	30.66377636
National	Middle	Afghanistan	US$	Energy	78.05399801
National	Middle	Afghanistan	$PPP	Energy	172.3353922
National	Middle	Afghanistan	Local Currency	Energy	3625.764316
National	Lowest	Afghanistan	US$	Energy	439.020544
National	Lowest	Afghanistan	$PPP	Energy	969.31329
National	Lowest	Afghanistan	Local Currency	Energy	20393.38231
National	Low	Afghanistan	US$	Energy	867.7360789
National	Low	Afghanistan	$PPP	Energy	1915.874155
National	Low	Afghanistan	Local Currency	Energy	40308.07634
National	All	Afghanistan	US$	Energy	1385.470738
National	All	Afghanistan	$PPP	Energy	3058.98031
National	All	Afghanistan	Local Currency	Energy	64357.88674
Rural	Higher	Afghanistan	US$	Energy	0
Rural	Higher	Afghanistan	$PPP	Energy	0
Rural	Higher	Afghanistan	Local Currency	Energy	0
Rural	Middle	Afghanistan	US$	Energy	7.874913517
Rural	Middle	Afghanistan	$PPP	Energy	17.38701852
Rural	Middle	Afghanistan	Local Currency	Energy	365.8054827
Rural	Lowest	Afghanistan	US$	Energy	370.5862931
Rural	Lowest	Afghanistan	$PPP	Energy	818.2173339
Rural	Lowest	Afghanistan	Local Currency	Energy	17214.47449
Rural	Low	Afghanistan	US$	Energy	459.3196177
Rural	Low	Afghanistan	$PPP	Energy	1014.131607
Rural	Low	Afghanistan	Local Currency	Energy	21336.31488
Rural	All	Afghanistan	US$	Energy	837.7808244
Rural	All	Afghanistan	$PPP	Energy	1849.73596
Rural	All	Afghanistan	Local Currency	Energy	38916.59485
Urban	Higher	Afghanistan	US$	Energy	0.660117462
Urban	Higher	Afghanistan	$PPP	Energy	1.457473091
Urban	Higher	Afghanistan	Local Currency	Energy	30.66377636
Urban	Middle	Afghanistan	US$	Energy	70.1790845
Urban	Middle	Afghanistan	$PPP	Energy	154.9483736
Urban	Middle	Afghanistan	Local Currency	Energy	3259.958833
Urban	Lowest	Afghanistan	US$	Energy	68.43425083
Urban	Lowest	Afghanistan	$PPP	Energy	151.095956
Urban	Lowest	Afghanistan	Local Currency	Energy	3178.907819
Urban	Low	Afghanistan	US$	Energy	408.4164612
Urban	Low	Afghanistan	$PPP	Energy	901.7425475
Urban	Low	Afghanistan	Local Currency	Energy	18971.76146
Urban	All	Afghanistan	US$	Energy	547.689914
Urban	All	Afghanistan	$PPP	Energy	1209.24435
Urban	All	Afghanistan	Local Currency	Energy	25441.29188
National	Higher	Albania	US$	Energy	18.61986498
National	Higher	Albania	$PPP	Energy	33.45273697
National	Higher	Albania	Local Currency	Energy	1935.274286
National	Middle	Albania	US$	Energy	190.808636
National	Middle	Albania	$PPP	Energy	342.8097421
National	Middle	Albania	Local Currency	Energy	19831.88639
National	Lowest	Albania	US$	Energy	8.33575226
National	Lowest	Albania	$PPP	Energy	14.97614124
National	Lowest	Albania	Local Currency	Energy	866.3847468
National	Low	Albania	US$	Energy	185.9994326
National	Low	Albania	$PPP	Energy	334.169453
National	Low	Albania	Local Currency	Energy	19332.03703
National	All	Albania	US$	Energy	403.7636858
National	All	Albania	$PPP	Energy	725.4080733
National	All	Albania	Local Currency	Energy	41965.58245
Rural	Higher	Albania	US$	Energy	0.971143687
Rural	Higher	Albania	$PPP	Energy	1.744771746
Rural	Higher	Albania	Local Currency	Energy	100.9367903
Rural	Middle	Albania	US$	Energy	49.64916821
Rural	Middle	Albania	$PPP	Energy	89.20046234
Rural	Middle	Albania	Local Currency	Energy	5160.335947
Rural	Lowest	Albania	US$	Energy	6.121876755
Rural	Lowest	Albania	$PPP	Energy	10.99865832
Rural	Lowest	Albania	Local Currency	Energy	636.2833824
Rural	Low	Albania	US$	Energy	95.3842573
Rural	Low	Albania	$PPP	Energy	171.3688297
Rural	Low	Albania	Local Currency	Energy	9913.858167
Rural	All	Albania	US$	Energy	152.1264459
Rural	All	Albania	$PPP	Energy	273.3127221
Rural	All	Albania	Local Currency	Energy	15811.41429
Urban	Higher	Albania	US$	Energy	17.64872129
Urban	Higher	Albania	$PPP	Energy	31.70796522
Urban	Higher	Albania	Local Currency	Energy	1834.337496
Urban	Middle	Albania	US$	Energy	141.1594678
Urban	Middle	Albania	$PPP	Energy	253.6092798
Urban	Middle	Albania	Local Currency	Energy	14671.55044
Urban	Lowest	Albania	US$	Energy	2.213875506
Urban	Lowest	Albania	$PPP	Energy	3.977482923
Urban	Lowest	Albania	Local Currency	Energy	230.1013646
Urban	Low	Albania	US$	Energy	90.61517529
Urban	Low	Albania	$PPP	Energy	162.8006233
Urban	Low	Albania	Local Currency	Energy	9418.178859
Urban	All	Albania	US$	Energy	251.6372399
Urban	All	Albania	$PPP	Energy	452.0953512
Urban	All	Albania	Local Currency	Energy	26154.16816
