Cust_id,Age,Account_balance,Personal_loan_ind,Home_loan_ind,Prime_Customer_ind,Overall_Satisfaction
CX01-001,49,23974,1,0,1,Dis Satisfied
CX01-002,25,72374,0,1,1,Satisfied
CX01-003,32,65532,0,0,1,Satisfied
CX01-004,70,28076,0,1,1,Dis Satisfied
CX01-005,23,38974,1,1,1,Satisfied
CX01-006,20,56405,0,0,1,Satisfied
CX01-007,39,82439,1,1,1,Satisfied
CX01-008,58,22109,1,0,0,Dis Satisfied
CX01-009,41,53453,0,1,1,Satisfied
CX01-010,24,57168,1,1,1,Satisfied
CX01-011,37,34095,0,0,1,Satisfied
CX01-012,47,6015,1,0,0,Dis Satisfied
CX01-013,44,20010,0,0,1,Dis Satisfied
CX01-014,46,84763,1,0,1,Satisfied
CX01-015,34,6093,1,1,0,Dis Satisfied
CX01-016,33,74908,1,1,1,Satisfied
CX01-017,70,9909,0,1,0,Dis Satisfied
CX01-018,34,37962,0,0,1,Dis Satisfied
CX01-019,38,48721,0,1,1,Satisfied
CX01-020,48,39303,1,0,1,Satisfied
CX01-021,31,73507,1,0,1,Satisfied
CX01-022,49,20046,0,1,0,Dis Satisfied
CX01-023,45,19030,1,1,0,Dis Satisfied
CX01-024,35,29965,1,1,0,Dis Satisfied
CX01-025,22,35095,0,1,1,Satisfied
CX01-026,23,72886,0,1,1,Satisfied
CX01-027,38,53917,0,0,1,Satisfied
CX01-028,37,19043,1,0,0,Dis Satisfied
CX01-029,63,37112,1,0,1,Dis Satisfied
CX01-030,28,33072,1,1,1,Satisfied
CX01-031,41,83101,1,0,1,Satisfied
CX01-032,34,21997,0,0,0,Dis Satisfied
CX01-033,63,11995,0,1,1,Dis Satisfied
CX01-034,49,8987,1,1,0,Dis Satisfied
CX01-035,33,35037,1,0,1,Satisfied
CX01-036,50,15961,1,1,1,Dis Satisfied
CX01-037,45,57466,1,0,0,Satisfied
CX01-038,32,38468,1,0,1,Satisfied
CX01-039,39,23945,1,0,0,Dis Satisfied
CX01-040,40,20001,0,1,0,Dis Satisfied
CX01-041,26,66499,1,0,1,Satisfied
CX01-042,34,47757,0,0,1,Satisfied
CX01-043,28,46420,1,1,1,Satisfied
CX01-044,41,29018,1,1,1,Dis Satisfied
CX01-045,45,6917,0,0,0,Dis Satisfied
CX01-046,51,21012,1,1,0,Dis Satisfied
CX01-047,24,54598,1,0,0,Satisfied
CX01-048,38,80512,1,1,1,Satisfied
CX01-049,45,68039,0,0,1,Satisfied
CX01-050,69,26918,0,1,1,Dis Satisfied
CX01-051,42,16080,0,1,1,Dis Satisfied
CX01-052,21,30070,1,0,1,Satisfied
CX01-053,23,72497,1,0,1,Satisfied
CX01-054,22,65480,1,1,1,Satisfied
CX01-055,68,9030,1,1,0,Dis Satisfied
CX01-056,42,94691,0,0,1,Satisfied
CX01-057,56,6992,0,1,0,Dis Satisfied
CX01-058,59,5959,1,1,0,Dis Satisfied
CX01-059,47,10047,1,1,0,Dis Satisfied
CX01-060,72,31101,0,1,0,Dis Satisfied
CX01-061,24,84603,1,0,1,Dis Satisfied
CX01-062,55,11915,1,0,0,Satisfied
CX01-063,29,34027,1,1,1,Dis Satisfied
CX01-064,55,27958,0,0,1,Satisfied
CX01-065,42,35118,0,0,1,Dis Satisfied
CX01-066,24,44446,0,1,1,Dis Satisfied
CX01-067,66,16964,0,0,1,Satisfied
CX01-068,43,103971,1,0,1,Satisfied
CX01-069,50,32031,0,0,1,Satisfied
CX01-070,67,34034,1,0,0,Dis Satisfied
CX01-071,52,30963,1,0,1,Dis Satisfied
CX01-072,38,45279,1,1,1,Dis Satisfied
CX01-073,49,35058,0,0,0,Satisfied
CX01-074,51,34974,0,1,1,Satisfied
CX01-075,47,22073,1,1,0,Dis Satisfied
CX01-076,26,85089,1,1,1,Satisfied
CX01-077,35,60846,0,1,1,Satisfied
CX01-078,66,13003,1,0,1,Dis Satisfied
CX01-079,38,73167,1,1,1,Satisfied
CX01-080,40,64234,1,0,1,Satisfied
CX01-081,41,50811,1,1,0,Satisfied
CX01-082,68,37986,0,1,1,Dis Satisfied
CX01-083,46,9009,0,0,1,Dis Satisfied
CX01-084,68,23025,1,1,0,Dis Satisfied
CX01-085,44,41595,0,0,1,Satisfied
CX01-086,48,70382,0,1,0,Satisfied
CX01-087,57,39967,1,1,1,Satisfied
CX01-088,28,64938,0,1,1,Satisfied
CX01-089,62,18058,0,1,0,Satisfied
CX01-090,30,72850,1,1,1,Satisfied
CX01-091,53,37935,1,1,0,Satisfied
CX01-092,47,18081,1,0,1,Satisfied
CX01-093,71,5078,0,1,1,Satisfied
CX01-094,43,34072,1,1,1,Satisfied
CX01-095,41,84245,0,1,1,Satisfied
CX01-096,47,92546,0,0,1,Satisfied
CX01-097,41,33039,1,1,0,Satisfied
CX01-098,40,6072,0,0,1,Satisfied
CX01-099,61,16064,0,1,1,Dis Satisfied
CX01-100,23,52974,1,1,1,Satisfied
CX01-1000,39,40117,0,0,0,Dis Satisfied
CX01-10000,51,36082,0,1,1,Dis Satisfied
CX01-10001,59,13918,1,0,0,Dis Satisfied
CX01-10002,33,31080,1,1,0,Dis Satisfied
CX01-10003,57,34014,1,1,1,Dis Satisfied
CX01-10004,40,103392,0,0,1,Satisfied
CX01-10005,70,22988,0,1,0,Dis Satisfied
CX01-10006,26,102500,0,0,1,Satisfied
CX01-10007,32,75993,0,0,1,Satisfied
CX01-10008,42,86814,0,1,1,Satisfied
CX01-10009,43,102057,0,1,1,Satisfied
CX01-1001,71,12028,1,1,1,Dis Satisfied
CX01-10010,71,22064,1,0,1,Dis Satisfied
CX01-10011,24,86457,1,1,1,Satisfied
CX01-10012,71,19011,0,1,0,Dis Satisfied
CX01-10013,33,22965,1,0,0,Dis Satisfied
CX01-10014,63,21063,0,0,0,Dis Satisfied
CX01-10015,41,72562,0,0,1,Satisfied
CX01-10016,57,31960,1,0,1,Dis Satisfied
CX01-10017,48,83180,0,0,1,Satisfied
CX01-10018,54,5958,1,1,0,Dis Satisfied
CX01-10019,43,33068,0,0,1,Dis Satisfied
CX01-1002,46,32037,1,1,0,Dis Satisfied
CX01-10020,65,14921,1,1,0,Dis Satisfied
CX01-10021,51,30929,0,1,0,Dis Satisfied
CX01-10022,37,80954,0,1,0,Satisfied
CX01-10023,48,36064,0,0,1,Dis Satisfied
CX01-10024,43,60261,0,1,1,Satisfied
CX01-10025,57,17968,1,0,0,Dis Satisfied
CX01-10026,38,81501,0,0,1,Satisfied
CX01-10027,35,59831,0,0,1,Satisfied
CX01-10028,33,8057,1,1,0,Dis Satisfied
CX01-10029,30,80706,0,0,1,Satisfied
CX01-1003,39,26101,1,0,1,Dis Satisfied
CX01-10030,58,37977,0,0,1,Dis Satisfied
CX01-10031,40,31939,1,1,0,Satisfied
CX01-10032,47,84777,1,1,1,Satisfied
CX01-10033,30,64784,1,0,1,Satisfied
CX01-10034,47,38002,0,1,1,Dis Satisfied
CX01-10035,38,33949,1,1,1,Satisfied
CX01-10036,37,57399,1,0,1,Satisfied
CX01-10037,58,39042,1,0,0,Dis Satisfied
CX01-10038,37,83430,0,0,1,Satisfied
CX01-10039,39,90008,0,0,1,Satisfied
CX01-1004,46,72695,1,1,1,Satisfied
CX01-10040,43,87209,0,1,1,Satisfied
CX01-10041,49,18047,1,0,0,Dis Satisfied
CX01-10042,40,37971,0,0,1,Dis Satisfied
CX01-10043,59,8060,1,0,1,Dis Satisfied
CX01-10044,51,23057,1,1,0,Dis Satisfied
CX01-10045,21,71683,0,1,0,Satisfied
CX01-10046,64,14083,1,1,0,Dis Satisfied
CX01-10047,25,46242,0,1,0,Satisfied
CX01-10048,58,17089,0,1,1,Dis Satisfied
CX01-10049,34,35064,0,0,1,Dis Satisfied
CX01-1005,22,71205,0,0,1,Satisfied
CX01-10050,71,6086,1,0,0,Dis Satisfied
CX01-10051,27,99656,1,0,1,Satisfied
CX01-10052,47,70558,0,1,1,Satisfied
CX01-10053,35,38111,1,0,0,Dis Satisfied
CX01-10054,37,36112,1,0,1,Satisfied
CX01-10055,24,84579,0,0,1,Satisfied
CX01-10056,28,58267,0,1,1,Satisfied
CX01-10057,31,34016,0,0,0,Satisfied
CX01-10058,63,9974,0,1,1,Dis Satisfied
CX01-10059,39,25078,1,1,0,Dis Satisfied
CX01-1006,46,30069,0,0,0,Satisfied
CX01-10060,61,27972,1,0,0,Dis Satisfied
CX01-10061,34,100106,0,1,1,Satisfied
CX01-10062,36,30112,1,0,0,Dis Satisfied
CX01-10063,39,63696,1,1,1,Satisfied
CX01-10064,36,74771,1,1,1,Satisfied
CX01-10065,32,94061,0,0,1,Satisfied
