age,workclass,education,education.num,marital.status,occupation,sex,capital.gain,capital.loss,hours.per.week,native.country,income
90,?,HS-grad,9,Widowed,?,Female,0,4356,40,United-States,<=50K
82,Private,HS-grad,9,Widowed,Exec-managerial,Female,0,4356,18,United-States,<=50K
66,?,Some-college,10,Widowed,?,Female,0,4356,40,United-States,<=50K
54,Private,7th-8th,4,Divorced,Machine-op-inspct,Female,0,3900,40,United-States,<=50K
41,Private,Some-college,10,Separated,Prof-specialty,Female,0,3900,40,United-States,<=50K
34,Private,HS-grad,9,Divorced,Other-service,Female,0,3770,45,United-States,<=50K
38,Private,10th,6,Separated,Adm-clerical,Male,0,3770,40,United-States,<=50K
74,State-gov,Doctorate,16,Never-married,Prof-specialty,Female,0,3683,20,United-States,>50K
68,Federal-gov,HS-grad,9,Divorced,Prof-specialty,Female,0,3683,40,United-States,<=50K
41,Private,Some-college,10,Never-married,Craft-repair,Male,0,3004,60,?,>50K
45,Private,Doctorate,16,Divorced,Prof-specialty,Female,0,3004,35,United-States,>50K
38,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Male,0,2824,45,United-States,>50K
52,Private,Bachelors,13,Widowed,Other-service,Female,0,2824,20,United-States,>50K
32,Private,Masters,14,Separated,Exec-managerial,Male,0,2824,55,United-States,>50K
51,?,Doctorate,16,Never-married,?,Male,0,2824,40,United-States,>50K
46,Private,Prof-school,15,Divorced,Prof-specialty,Male,0,2824,40,United-States,>50K
45,Private,11th,7,Divorced,Transport-moving,Male,0,2824,76,United-States,>50K
57,Private,Masters,14,Divorced,Exec-managerial,Male,0,2824,50,United-States,>50K
22,Private,Assoc-acdm,12,Never-married,Handlers-cleaners,Male,0,2824,40,?,>50K
34,Private,Bachelors,13,Separated,Sales,Male,0,2824,50,United-States,>50K
37,Private,Bachelors,13,Never-married,Exec-managerial,Male,0,2824,40,United-States,>50K
29,Private,11th,7,Separated,Sales,Female,0,2754,42,United-States,<=50K
61,Private,HS-grad,9,Divorced,Sales,Female,0,2754,25,United-States,<=50K
51,Private,Some-college,10,Married-civ-spouse,Transport-moving,Male,0,2603,40,United-States,<=50K
61,?,HS-grad,9,Married-civ-spouse,?,Male,0,2603,32,United-States,<=50K
21,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Male,0,2603,40,United-States,<=50K
33,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Male,0,2603,32,Mexico,<=50K
49,Private,5th-6th,3,Married-civ-spouse,Other-service,Male,0,2603,40,Greece,<=50K
37,Self-emp-inc,10th,6,Never-married,Transport-moving,Male,0,2559,50,United-States,>50K
38,Private,10th,6,Never-married,Prof-specialty,Male,0,2559,90,United-States,>50K
