safe,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
1,36.2247,10.7733,0.243897,596,100.671,0,0,1,28,0.016064,313,1,1,57,0,0.28,240,5.99375,0,0,4,14.9382
1,35.7343,17.4551,0.243897,600,100,0,0,1,14,0.015812,319,1,1,57,0,0.175,240,5.99375,0,0,4,14.8827
1,31.6561,7.61366,0.308763,604,99.3377,0,0,1,4,0.01556,323,1,1,58,0,0.28,240,5.99375,0,0,4,14.6005
1,33.832,13.1119,0.293195,616,97.4026,0,0,1,8,0.016001,320,1,1,58,0,0.385,240,4.50625,0,13,4,14.6782
1,42.5138,13.9985,0.259465,632,94.9367,0,0,1,8,0.016064,322,1,1,57,0,0.07,240,5.99375,0,19.5,4,15.3461
1,36.1261,14.8593,0.278925,600,100,0,0,1,4,0.015749,314,1,1,58,0,0.175,1008,4.50625,0,23.9,4,15.0559
1,34.2385,13.6108,0.26206,568,105.634,0,0,1,-6,0.015812,314,1,1,60,0,0,511,3.01875,0,23.9,4,14.8859
1,34.1493,15.8691,0.284114,584,102.74,0,0,1,12,0.015497,323,1,1,59,0,0,240,4.50625,0,28.2,4,14.8746
1,35.2481,17.3455,0.291898,600,100,0,0,1,-12,0.015056,315,1,1,48,0,0,1023,3.01875,0,18.4,4,14.9685
1,39.612,10.4057,0.273736,600,100,0,0,1,-8,0.015056,319,1,1,50,0,0,1023,3.01875,0,21,4,15.3045
1,36.1269,12.83,0.284114,632,94.9367,0,0,1,-16,0.015308,325,1,1,62,0,0,511,3.01875,0,18,4,14.929
1,33.9604,9.66841,0.275033,652,92.0245,0,0,1,16,0.015875,324,1,1,61,0,0.07,240,3.01875,0,7.1,4,14.7768
0,37.1572,10.0682,0.312655,608,98.6842,0,0,1,0,0.015497,315,1,1,61,0,0.07,240,3.01875,0,1.9,4,14.9902
1,33.7126,10.312,0.291898,640,93.75,0,0,1,6,0.016568,322,1,1,63,0,-0.28,511,0,0,14.5,4,14.6372
1,34.0525,10.9362,0.291898,640,93.75,0,0,1,6,0.016568,322,1,1,63,0,-0.28,511,0,0,14.5,4,14.644
1,37.3684,10.0782,0.280222,600,100,0,0,1,8,0.016379,323,1,1,56,0,0.175,767,0,0,2.3,4,14.8617
1,41.7017,14.5755,0.307466,600,100,0,0,1,12,0.016127,320,1,1,60,0,-0.385,1023,1.4875,0,4.7,4,15.168
1,35.767,6.279,0.27633,616,97.4026,0,0,1,-4,0.015749,330,1,1,63,0,-0.385,767,1.4875,0,1.3,4,15.1051
1,35.3713,11.2346,0.269844,892,67.2646,0,0,1,-2,0.015938,322,1,1,62,0,0.07,767,1.4875,0,18.6,4,15.1685
1,34.7167,11.705,0.293195,828,72.4638,0,0,1,4,0.016064,326,1,1,63,0,0,767,1.4875,0,13,4,15.109
1,34.4791,12.3753,0.269844,776,77.3196,0,0,1,12,0.016127,328,1,1,62,0,-0.07,767,1.4875,0,11.7,4,15.1157
1,34.5885,13.5607,0.273736,616,97.4026,0,0,1,-28,0.01619,324,1,1,61,0,0.07,240,4.50625,0,19.1,4,15.0401
0,34.292,16.4897,0.298385,660,90.9091,0,0,1,0,0.016946,322,3,0,100,0,0.28,240,4.50625,0,9.1,4,14.9719
1,35.5426,13.9833,0.268546,628,95.5414,0,0,1,12,0.016505,329,1,1,62,0,0.07,240,4.50625,0,18.6,4,15.071
0,42.5577,17.0184,0.293195,672,89.2857,0,0,1,-8,0.017639,334,3,0,100,0,0,511,3.01875,0,15.4,4,15.9363
0,40.2324,12.5827,0.293195,672,89.2857,0,0,1,20,0.017702,339,3,0,100,0,-0.07,511,3.01875,0,13.6,4,15.7573
1,32.4913,12.3812,0.110273,668,89.8204,17.807,222.11,0,-12,0.016379,306,2,1,64,0,0.28,496,5.99375,0,38.6,4,15.8036
1,33.2785,11.2183,0.086921,684,87.7193,17.807,222.11,0,10,0.016694,315,2,1,62,0,0.28,496,3.01875,0,6.7,4,15.6937
1,35.1669,19.3521,0.098597,644,93.1677,17.807,222.11,0,-26,0.01619,346,2,1,62,4.4,0.175,496,3.01875,0,0,4,15.9614
1,44.6144,17.0007,0.106381,660,90.9091,0,0,0,-44,0.016127,332,2,1,64,0,0.56,1008,7.48125,0,0,4,16.7918
1,46.7163,12.5252,0.106381,660,90.9091,0,0,0,-44,0.016127,332,2,1,64,0,0.455,752,5.99375,0,0,4,17.0151
1,34.2619,10.2191,0.097299,664,90.3614,24.078,224.236,0,-32,0.017009,367,2,1,71,0,-0.875,767,3.01875,1,36.3,4,16.3899
1,36.3204,8.34257,0.116759,696,86.2069,23.558,223.405,0,0,0.017576,379,0,1,70,0,-0.07,255,0,0,10.6,4,16.7913
1,33.4459,11.4972,0.105083,696,86.2069,23.274,223.37,0,0,0.017828,375,0,1,69,0,-0.175,1023,0,0,8,4,16.567
1,34.038,11.1629,0.094705,648,92.5926,0,0,0,0,0.016064,371,0,1,69,0,-0.175,511,0,0,0,4,16.5393
1,34.5315,12.927,0.098597,664,90.3614,23.537,221.106,0,0,0.015623,368,0,1,70,0,-0.175,511,0,0,1.3,4,16.5597
1,34.4879,7.44085,0.118057,652,92.0245,23.637,221.757,0,0,0.01556,366,0,1,69,0,-0.175,1023,0,0,17.3,4,16.479
1,35.149,6.7294,0.118057,648,92.5926,23.637,221.757,0,0,0.01556,366,0,1,69,0,-0.07,1023,0,0,17.3,4,16.5361
1,35.4637,14.0093,0.096002,652,92.0245,23.637,221.757,0,0,0.01556,366,0,1,67,0,-0.07,1023,0,0,8.6,4,16.5508
1,34.2144,8.25211,0.108975,648,92.5926,23.637,221.757,0,0,0.015812,366,0,1,65,5.2,-0.28,767,1.4875,1,0,4,16.4381
1,35.4915,9.78383,0.105083,656,91.4634,23.637,221.757,0,0,0.015875,366,0,1,64,11.6,-0.175,1023,1.4875,1,0,4,16.5197
1,32.1753,11.8478,0.103786,656,91.4634,28.027,235.802,0,12,0.016568,393,2,1,70,0,0,496,1.4875,0,28.2,4,16.4013
1,31.4828,12.4664,0.093407,716,83.7989,0,0,0,0,0.016316,397,2,1,70,0,0.28,240,4.50625,0,42.1,4,16.27
1,31.1777,14.2855,0.090813,712,84.2697,0,0,0,-4,0.016379,396,2,1,69,0,0.07,240,4.50625,0,42.1,4,16.2138
0,31.0946,10.2939,0.101191,692,86.7052,0,0,0,-8,0.016442,404,2,1,68,0,0.07,240,4.50625,0,11.9,4,16.065
1,31.1875,8.10401,0.093407,672,89.2857,0,0,0,-16,0.016316,395,2,1,68,0,0.07,240,3.01875,0,15.2,4,16.0517
1,31.1839,9.4361,0.112867,676,88.7574,0,0,0,-6,0.016568,398,2,1,69,0,0.175,240,3.01875,0,28.9,4,15.9924
1,31.256,15.0119,0.098597,680,88.2353,0,0,0,16,0.016757,390,2,1,68,0,0.175,240,3.01875,0,35.8,4,15.9907
1,31.8248,18.7629,0.102489,664,90.3614,24.682,242.504,0,8,0.016442,385,2,1,67,10.4,0.385,240,5.99375,0,0,4,15.9127
1,34.2676,12.3734,0.136219,660,90.9091,24.682,242.504,0,-4,0.016505,386,2,1,66,10.8,0.455,1008,5.99375,0,0,4,16.0729
1,35.6277,10.6757,0.116759,672,89.2857,26.675,247.355,0,0,0.016505,395,2,1,61,0,0.28,1008,4.50625,0,6.5,4,16.0908
1,35.6064,9.15672,0.116759,672,89.2857,26.675,247.355,0,0,0.016505,395,2,1,61,0,0.28,1008,4.50625,0,6,4,16.0923
1,35.6539,9.56992,0.116759,668,89.8204,26.675,247.355,0,20,0.016631,396,2,1,61,0,0.385,1008,4.50625,0,3,4,16.0986
1,48.1026,7.6347,0.123246,664,90.3614,29.065,243.287,0,-14,0.017198,395,2,1,60,0,0,767,1.4875,0,0,4,17.2494
1,47.278,8.6466,0.110273,656,91.4634,28.198,241.565,0,-28,0.016946,392,2,1,61,0,0.175,767,1.4875,0,0,4,17.2993
1,36.9899,9.14227,0.110273,672,89.2857,0,0,0,16,0.016694,380,0,1,61,15.2,-0.875,255,5.99375,1,0,4,16.8219
1,31.2311,15.1251,0.129732,660,90.9091,0,0,0,24,0.016568,366,0,1,79,0,-0.28,240,0,0,22.8,4,16.251
1,31.1883,12.2737,0.119354,672,89.2857,0,0,0,-20,0.01556,366,0,1,82,0,0.77,1008,15.0063,0,0,4,16.1306
1,35.0265,18.5369,0.110273,656,91.4634,0,0,0,24,0.017513,366,0,1,83,0,1.54,240,25.5063,0,5.8,4,16.3899
1,32.3058,7.78824,0.128435,684,87.7193,0,0,0,0,0.0143,366,0,1,83,0,1.75,1008,28.4812,0,8,4,16.1632
1,32.3883,18.7477,0.128435,676,88.7574,0,0,0,0,0.014741,366,0,1,83,0,1.75,496,26.9937,0,6.7,4,16.134
1,33.3569,8.99297,0.128435,676,88.7574,0,0,0,0,0.015056,366,0,1,83,0,1.645,1008,26.9937,0,4.1,4,16.1695
1,38.9856,18.5238,0.123246,668,89.8204,17.666,267.639,0,92,0.017702,379,2,1,71,34.4,0.385,1008,24.0188,0,0,3,16.7247
1,34.3794,20.0756,0.118057,656,91.4634,17.666,267.639,0,0,0.016757,376,2,1,72,18,0,752,19.5125,0,0,1,16.3754
1,31.3943,15.1829,0.114165,688,87.2093,7.881,191.598,0,0,0.018773,360,0,1,80,0,-2.03,255,37.4937,1,26.3,3,16.1097
1,30.9893,10.0071,0.123246,668,89.8204,0,0,0,22,0.01808,367,2,1,80,0,0.175,496,3.01875,0,23.2,3,16.0635
1,31.8533,10.8464,0.107678,672,89.2857,0,0,0,14,0.016442,390,2,1,79,0,0.07,496,4.50625,0,5.8,4,15.9482
1,31.6123,9.17577,0.102489,688,87.2093,2.781,187.883,0,18,0.016442,396,2,1,77,0,0.28,240,3.01875,0,1.5,4,15.812
1,32.0419,12.4557,0.115462,672,89.2857,0,0,0,18,0.016505,387,2,1,76,0,0.07,240,4.50625,0,17.1,4,15.8132
1,32.1935,12.6068,0.101191,680,88.2353,0,0,0,-30,0.015686,413,2,1,77,0,0.07,1008,3.01875,0,0,4,15.7031
1,32.3437,10.9246,0.093407,668,89.8204,12.714,224.486,0,-12,0.016001,410,2,1,76,0,0.07,1023,3.01875,0,0,4,15.6923
1,33.0909,9.37675,0.102489,696,86.2069,0,0,0,30,0.016883,412,2,1,75,18.8,0,1023,0,0,0,4,15.6895
1,34.0219,17.8445,0.101191,672,89.2857,15.123,236.565,0,28,0.018899,401,2,1,75,0,-1.26,1023,26.9937,1,7.6,4,15.7055
1,44.089,17.5609,0.121949,624,96.1538,14.173,242.58,0,0,0.01682,388,0,1,77,0,0.175,1023,0,0,9.7,2,17.1052
1,43.2284,9.81376,0.15049,628,95.5414,14.173,242.58,0,0,0.016694,386,0,1,78,0,0.07,767,0,0,5.2,2,17.1356
