Age,Experience,Purchase,Sample_Set
20,2.3,0,1
16.2,2.2,0,1
20.2,1.8,0,1
18.8,1.4,0,1
18.9,3.2,0,1
16.7,3.9,0,1
16.3,1.4,0,1
20,1.4,0,1
18,3.6,0,1
21.2,4.3,0,1
17.1,3.7,0,1
17.6,4.4,0,1
19.5,3.8,0,1
20.7,4.1,0,1
19.2,3.7,0,1
16.9,3.5,0,1
17.3,1.8,0,1
20.5,3.4,0,1
20.7,2.7,0,1
19.5,2.4,0,1
16.2,3.7,1,1
16.7,3.1,0,1
20.9,2.9,0,1
16.9,2.1,0,1
19.5,1.2,0,1
21.4,3.5,0,1
19.9,3.5,0,1
18.5,3.7,1,1
20.3,2.3,0,1
18.9,2.4,0,1
21.9,1.5,0,1
17.2,2.6,0,1
18.8,2.9,0,1
33.9,6.2,1,2
29.3,5.5,1,2
27.8,3.4,1,2
30.7,8.6,1,2
28.4,8.2,1,2
31.3,6.3,1,2
33.7,3.8,1,2
33.1,6.4,1,2
24.3,6.1,1,2
27.5,7.5,1,2
28.7,9.5,1,2
28.7,5.7,1,2
31.9,5.8,1,2
32.1,7.7,1,2
31.1,9.1,1,2
24.7,8.9,1,2
25.1,5.1,1,2
32.6,9.1,1,2
28.5,9,1,2
24.9,6.8,1,2
23.2,6.8,1,2
26.7,4.5,1,2
33.6,8.3,0,2
25.8,4.7,1,2
31.5,9.2,1,2
28,6.7,1,2
31.9,8.5,1,2
27.5,3.9,1,2
31.4,7.3,1,2
26.6,6.5,1,2
27.6,4.9,1,2
25.1,9.3,1,2
28,6.1,1,2
31.1,4.3,1,2
25.2,3.6,1,2
28.1,5.6,1,2
25.1,8.2,1,2
26.8,4,1,2
31.3,4.4,1,2
33.1,6.6,0,2
24.2,4,1,2
37.1,9.3,0,3
41.3,9.2,0,3
40.6,16.4,0,3
42.4,12.1,0,3
39.2,10.8,0,3
35.9,9.6,0,3
36.5,10.3,0,3
38.8,15.8,0,3
43.9,13.4,0,3
37.5,14,0,3
43.3,12.7,0,3
46.3,13.7,0,3
50.3,11.9,0,3
38.3,9.8,0,3
39.9,12.5,0,3
50.4,10.6,1,3
36.6,8.6,0,3
49.6,14.4,0,3
44.8,11.1,0,3
42.1,8.3,0,3
37.9,15,0,3
45.6,13.2,0,3
42.5,12.3,0,3
47.6,11.3,0,3
47.6,14.2,0,3
43.3,14.3,0,3
45.6,13.3,0,3
40.2,13.6,0,3
46.5,10.8,0,3
40.7,14.6,0,3
45.9,14.5,0,3
36.7,12.2,0,3
49.7,13.1,0,3
38.1,16.7,0,3
47,9.4,0,3
44.7,10.2,0,3
38.6,15.6,0,3
49.7,14.8,0,3
47.2,15.3,0,3
35.1,15.6,1,3
48.8,15.9,0,3
48.3,9.1,0,3
45.4,14.3,0,3
40.8,15.8,0,3
49.5,10.8,0,3
25,2.727751468,0,1
14.2,1.229908326,0,1
22.2,1.263315998,0,1
19.8,1.243897071,0,1
18.9,4.547158906,0,1
15.7,3.000170305,0,1
21.3,2.07078068,0,1
21,3.052170076,0,1
19,4.467052683,0,1
26.2,3.472659886,0,1
17.1,4.04693692,0,1
20.6,5.537448872,0,1
20.5,5.227788299,0,1
22.7,5.929654209,0,1
21.2,4.170068672,0,1
17.9,2.916756577,0,1
19.3,1.276216922,0,1
19.5,3.078400199,0,1
22.7,2.418573622,0,1
22.5,3.216200926,0,1
14.2,3.885134762,1,1
19.7,3.991774073,0,1
23.9,3.170953792,0,1
18.9,2.228776594,0,1
20.5,0.944638034,0,1
26.4,3.006564338,0,1
22.9,2.834638474,0,1
17.5,2.852033665,1,1
22.3,3.536738763,0,1
21.9,1.817174269,0,1
22.9,3.433574366,0,1
18.2,4.585715559,0,1
23.8,4.08569303,0,1
32.9,6.71330593,1,2
34.3,5.493203267,1,2
30.8,3.289828645,1,2
35.7,9.829408874,1,2
26.4,7.824188165,1,2
32.3,8.114253353,1,2
31.7,3.023381338,1,2
37.1,7.983738181,1,2
25.3,7.510462893,1,2
31.5,8.375997989,1,2
31.7,10.59819068,1,2
31.7,6.88800796,1,2
30.9,6.364666426,1,2
35.1,8.063163375,1,2
32.1,9.491656042,1,2
25.7,8.222069685,1,2
27.1,5.16606171,1,2
31.6,10.02959814,1,2
27.5,8.783191514,1,2
28.9,7.755129732,1,2
21.2,6.182000939,1,2
27.7,5.358872403,1,2
34.6,8.893651068,0,2
27.8,4.568739849,1,2
35.5,8.366949877,1,2
27,7.002803795,1,2
32.9,9.037901152,1,2
26.5,4.287769538,1,2
34.4,7.547652084,1,2
31.6,6.870793708,1,2
27.6,5.39460427,1,2
27.1,8.807923132,1,2
29,5.374111058,1,2
31.1,5.672250044,1,2
27.2,3.969157101,1,2
28.1,4.694808975,1,2
26.1,8.50618872,1,2
28.8,3.297212852,1,2
35.3,3.910378882,1,2
35.1,8.240427405,0,2
25.2,4.466278733,1,2
41.1,10.36742364,0,3
45.3,9.741274194,0,3
38.6,17.78758407,0,3
44.4,11.94008252,0,3
40.2,10.04864245,0,3
33.9,10.4824508,0,3
37.5,11.45078565,0,3
39.8,15.31907231,0,3
44.9,15.11367311,0,3
38.5,13.69164599,0,3
44.3,13.3855073,0,3
48.3,15.0201852,0,3
50.3,12.18340844,0,3
36.3,10.71393949,0,3
44.9,12.83196819,0,3
48.4,12.08495715,1,3
36.6,8.5797869,0,3
50.6,16.21833336,0,3
47.8,10.50195431,0,3
47.1,7.728351634,0,3
36.9,16.87358295,0,3
46.6,12.46859802,0,3
45.5,11.93824669,0,3
52.6,11.41823123,0,3
47.6,15.47954018,0,3
48.3,15.85079579,0,3
48.6,14.29632333,0,3
43.2,14.14745235,0,3
45.5,11.08165724,0,3
43.7,14.75756159,0,3
48.9,16.01240568,0,3
34.7,13.40559932,0,3
52.7,13.32823541,0,3
38.1,16.79468647,0,3
49,9.205302274,0,3
49.7,9.339780732,0,3
41.6,15.36905132,0,3
50.7,14.70897486,0,3
52.2,17.13187884,0,3
38.1,17.26259197,1,3
46.8,17.15158389,0,3
46.3,10.13029852,0,3
43.4,15.55407406,0,3
41.8,14.91373199,0,3
54.5,11.58457046,0,3
